Milk Previous Fat Protein Days Lactat I79
42 47 5.0 3.0 51 6 0
53 22 6.1 5.4 52 5 0
79 82 7.0 5.8 47 6 0
73 25 6.8 6.1 36 3 0
92 48 6.7 6.1 21 4 0
51 39 3.8 5.1 40 5 0
26 67 6.8 2.7 29 4 0
50 72 3.9 6.7 27 4 0
74 22 6.6 6.0 39 2 0
60 32 3.2 4.4 29 3 0
72 50 3.1 6.1 35 5 0
83 78 4.8 3.2 28 2 0
98 31 6.9 3.6 34 4 0
80 72 2.7 7.1 57 4 0
46 27 6.8 7.6 53 5 0
69 47 6.6 6.0 30 5 0
78 26 3.4 5.6 37 2 0
64 71 3.0 7.6 31 6 0
84 63 3.3 7.1 40 3 0
101 75 6.0 8.8 37 4 0
51 34 7.0 4.9 49 2 0
53 28 2.9 3.0 31 1 0
33 53 5.5 4.0 48 2 0
45 47 2.7 3.7 39 3 0
57 29 6.8 7.4 38 1 0
61 46 6.6 4.9 61 6 0
92 86 3.1 8.2 31 3 0
101 57 6.9 7.6 41 2 0
51 72 2.6 7.2 60 2 0
87 90 4.4 4.8 27 1 0
58 25 3.8 6.8 41 7 0
96 63 4.0 4.4 58 1 0
46 46 3.9 3.9 57 4 0
77 72 6.3 2.7 38 5 0
96 25 3.9 6.6 27 2 0
85 53 4.6 4.5 37 6 0
83 62 7.2 4.7 53 2 0
28 98 3.0 6.5 44 4 0
33 84 3.0 8.3 39 4 0
52 39 2.7 4.6 45 5 0
59 49 3.7 3.8 53 1 0
53 82 3.0 3.9 23 3 0
31 49 6.3 4.4 43 7 0
86 76 7.3 5.7 27 6 0
63 92 3.2 7.8 59 7 0
91 92 7.3 3.3 41 2 0
38 34 4.2 8.3 62 4 0
93 48 6.0 8.5 56 7 0
49 83 4.2 3.4 34 5 0
25 76 6.4 4.6 49 6 0
34 96 3.7 4.8 60 2 0
46 51 7.2 7.5 36 1 0
51 86 5.6 2.8 48 3 0
44 58 4.3 5.0 38 2 0
101 35 6.8 4.9 31 6 0
93 79 5.8 7.4 60 4 0
41 22 5.6 4.6 22 3 0
104 30 2.9 5.8 39 6 0
49 77 5.5 8.6 36 6 0
51 79 5.2 8.0 28 1 0
21 55 6.1 8.8 57 1 0
100 66 4.0 8.2 29 7 0
43 60 5.8 6.8 35 4 0
98 66 3.3 4.9 35 1 0
29 20 7.1 5.9 38 4 0
88 51 5.5 3.1 39 3 0
23 82 5.1 8.2 40 7 0
88 75 6.2 5.7 30 7 0
37 40 5.9 3.7 27 2 0
41 45 5.5 6.8 45 3 0
108 30 4.3 7.0 47 3 0
51 63 6.0 5.9 38 7 0
37 62 6.6 6.7 44 7 0
59 29 5.6 7.3 39 7 0
65 50 7.0 4.6 44 3 0
44 51 6.3 7.9 46 1 0
95 90 6.2 4.0 38 2 0
72 69 3.2 6.9 25 4 0
74 59 3.9 5.0 22 6 0
78 77 3.2 3.8 26 4 0
49 53 4.3 6.5 50 7 0
43 40 3.7 5.6 39 5 0
49 60 7.1 2.8 45 5 0
48 94 7.4 7.8 27 5 0
92 46 5.2 4.6 49 5 0
56 51 7.1 5.2 41 6 0
58 32 3.4 4.3 55 6 0
53 42 5.9 6.6 37 6 0
33 45 2.5 3.0 58 4 0
48 25 6.9 5.0 40 7 0
38 39 4.8 7.9 49 2 0
41 53 5.9 7.7 48 2 0
41 21 5.6 4.4 34 5 0
57 69 3.4 3.1 37 3 0
28 77 3.0 4.1 26 1 0
